user_id,product_id,review_packaging,review_rebuy,review_valueformoney
1707,777,2.5,no,cheap
1707,2500,1.0,yes,just right
1707,4069,3.0,yes,cheap
1707,3304,3.0,no,cheap
1707,3803,3.0,maybe,cheap
1707,695,3.0,no,just right
1707,3024,3.0,no,expensive
1707,2506,3.0,maybe,just right
1707,617,2.5,maybe,just right
1707,605,2.5,no,just right
1707,2372,3.0,yes,just right
1707,3426,3.0,no,just right
1707,742,3.0,maybe,just right
1707,1257,3.0,maybe,cheap
1707,616,3.0,no,cheap
1707,4416,2.5,yes,cheap
1707,3969,2.5,no,just right
1707,4410,4.0,yes,cheap
1707,1130,5.0,no,cheap
1707,3668,3.0,maybe,just right
1707,2938,3.0,no,expensive
1707,743,2.5,no,just right
1707,603,2.0,maybe,just right
1707,4452,3.0,yes,cheap
1707,3559,4.0,yes,just right
1859,274,4.0,yes,just right
1859,1347,4.5,maybe,expensive
1859,4910,3.0,maybe,just right
1883,6603,3.0,no,just right
1883,370,3.0,no,cheap
1883,260,3.0,yes,cheap
1883,975,4.0,yes,cheap
1883,3493,3.0,maybe,just right
1883,3004,3.0,maybe,cheap
1883,1330,4.0,no,expensive
1883,3818,2.0,maybe,cheap
1883,1427,3.0,no,just right
1883,5965,3.0,no,cheap
1883,2618,3.0,no,expensive
1883,1035,3.0,no,cheap
1883,1503,3.0,maybe,just right
1883,4850,2.0,no,cheap
1883,8239,3.0,no,expensive
1883,2316,3.0,maybe,just right
1883,2277,3.0,no,just right
1883,777,3.0,no,just right
1883,1380,3.0,no,expensive
1883,5040,2.0,no,just right
1883,7064,3.0,no,just right
1883,3730,3.0,maybe,cheap
1883,5963,3.0,no,cheap
1883,833,3.0,yes,just right
1883,158,3.0,no,just right
1883,7794,3.0,maybe,cheap
1883,2403,3.0,maybe,just right
1883,3298,3.0,no,cheap
1883,3901,3.0,maybe,cheap
1883,4262,2.0,no,cheap
1883,925,3.0,no,cheap
1883,5042,3.0,no,cheap
1883,2372,3.5,maybe,just right
1883,5967,3.0,no,cheap
1883,5969,3.0,no,cheap
1883,620,3.0,no,just right
1883,5581,3.0,no,expensive
1883,4098,3.5,yes,cheap
1883,6378,2.0,no,cheap
1883,983,3.0,maybe,cheap
1883,3294,3.0,no,just right
1883,4291,4.0,maybe,just right
1883,8138,3.0,no,expensive
1883,966,3.0,maybe,just right
1883,7793,3.0,no,cheap
1883,2009,3.0,no,cheap
1883,417,5.0,yes,cheap
1883,631,3.0,maybe,just right
1883,2786,3.0,yes,just right
1883,4343,3.0,no,cheap
1883,1124,4.0,no,cheap
1883,765,3.0,maybe,just right
1883,7626,3.0,no,just right
1883,8120,3.0,no,cheap
1883,2500,3.0,yes,just right
1883,7079,3.0,no,cheap
1883,369,3.0,yes,cheap
1883,601,3.0,yes,just right
1883,5821,3.0,no,expensive
1883,3426,4.0,no,just right
1883,941,3.0,no,expensive
1883,6278,3.0,yes,cheap
1883,2202,3.0,no,cheap
1883,521,2.0,no,just right
1883,5648,3.0,no,cheap
1883,5408,2.0,yes,just right
1883,2354,3.0,yes,just right
1883,889,3.0,maybe,just right
1977,2042,4.0,yes,just right
1977,3462,3.5,yes,cheap
1977,2428,3.0,maybe,cheap
1977,2036,4.0,yes,cheap
1977,748,3.5,yes,just right
1977,2039,4.0,yes,cheap
1977,1418,4.0,no,expensive
1977,9183,3.0,maybe,cheap
1977,1964,2.5,no,expensive
1977,4300,5.0,yes,cheap
1977,610,5.0,yes,cheap
1977,1982,4.5,yes,just right
1977,1417,3.0,maybe,just right
1977,4115,5.0,yes,cheap
1977,1042,4.5,yes,just right
1977,1434,5.0,yes,just right
1977,1985,5.0,yes,expensive
1977,3393,3.5,yes,cheap
1977,983,3.0,maybe,cheap
1977,3292,2.5,maybe,cheap
1977,4256,3.0,yes,cheap
1977,1998,5.0,yes,expensive
1977,2008,5.0,yes,expensive
1977,4258,3.0,maybe,expensive
1977,4257,3.5,no,cheap
